file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\linalg\linalg.py,212,8323,4310,4013,212,2006-01-04 19:00:27+00:00,2017-08-25 10:26:36+00:00,11.6,717.5
numpy\core\tests\test_numeric.py,201,9262,5499,3763,201,2006-01-17 22:23:57+00:00,2017-09-20 06:01:50+00:00,11.7,791.6
scipy\base\src\arrayobject.c,197,14839,11654,3185,197,2005-09-14 22:42:37+00:00,2006-01-04 07:35:17+00:00,0.3,29678.0
numpy\distutils\misc_util.py,190,6272,3042,3230,190,2006-01-04 19:00:27+00:00,2017-09-05 19:24:16+00:00,11.7,536.1
numpy\testing\utils.py,189,7197,3252,3945,189,2006-01-04 17:47:13+00:00,2017-07-04 19:47:45+00:00,11.5,625.8
numpy\core\fromnumeric.py,188,14890,7702,7188,188,2006-06-12 22:58:43+00:00,2017-08-26 14:29:24+00:00,11.2,1329.5
numpy\random\mtrand\mtrand.pyx,171,13160,7217,5943,171,2006-01-04 19:00:27+00:00,2017-08-27 23:01:00+00:00,11.6,1134.5
numpy\lib\tests\test_io.py,158,4557,3299,1258,158,2008-04-03 14:06:33+00:00,2017-09-20 22:17:39+00:00,9.5,479.7
numpy\core\src\multiarray\methods.c,156,4299,2429,1870,156,2009-04-30 08:42:26+00:00,2017-08-25 18:42:46+00:00,8.3,518.0
numpy\core\src\multiarray\arrayobject.c,151,4600,1481,3119,151,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,547.6
numpy\core\src\multiarray\descriptor.c,149,6476,4120,2356,149,2009-04-30 08:42:26+00:00,2017-09-18 03:54:40+00:00,8.4,771.0
numpy\lib\npyio.py,149,2161,1327,834,149,2010-03-25 03:32:15+00:00,2017-09-20 22:17:39+00:00,7.5,288.1
numpy\distutils\system_info.py,147,5393,2166,3227,147,2006-01-04 19:00:27+00:00,2017-08-07 01:14:31+00:00,11.6,464.9
numpy\core\src\multiarray\item_selection.c,146,6703,3685,3018,146,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,798.0
scipy\base\src\multiarraymodule.c,143,9536,7522,2014,143,2005-09-14 22:42:37+00:00,2006-01-01 01:24:59+00:00,0.3,19072.0
numpy\core\include\numpy\ndarraytypes.h,137,4785,3305,1480,137,2010-05-09 00:04:55+00:00,2017-04-14 19:00:47+00:00,6.9,693.5
setup.py,129,1849,986,863,129,2003-03-08 17:09:48+00:00,2017-06-20 10:09:40+00:00,14.3,129.3
numpy\core\tests\test_ufunc.py,124,3606,2487,1119,124,2007-12-04 12:57:48+00:00,2017-08-01 20:29:36+00:00,9.7,371.8
numpy\core\src\ufuncobject.c,123,22531,8132,14399,123,2006-01-04 19:00:27+00:00,2008-11-17 03:27:28+00:00,2.9,7769.3
numpy\core\include\numpy\ndarrayobject.h,121,9039,3644,5395,121,2006-08-18 17:06:11+00:00,2016-09-12 20:16:53+00:00,10.1,895.0
numpy\core\include\numpy\arrayobject.h,116,5967,1394,4573,116,2006-01-11 00:52:55+00:00,2013-01-05 21:42:12+00:00,7.0,852.4
numpy\ma\extras.py,115,4949,3062,1887,115,2007-12-15 01:48:01+00:00,2017-08-01 20:29:36+00:00,9.6,515.5
numpy\core\src\multiarray\common.c,115,3990,2684,1306,115,2009-04-30 08:46:27+00:00,2017-05-10 12:07:58+00:00,8.0,498.8
numpy\lib\index_tricks.py,112,2441,1309,1132,112,2006-01-04 19:00:27+00:00,2017-08-01 20:29:36+00:00,11.6,210.4
numpy\core\records.py,112,2913,1163,1750,112,2006-01-06 10:14:10+00:00,2017-07-24 16:00:10+00:00,11.5,253.3
